type,id,Name,Age,Notes-age,Gender,Location,County or unitary authority,Country or english region,dod_day,dod_month,dod_year,Notes-dod,blurb,Died on streets,In hospital,Temp accomm,Recording by,reporting_by,reporting_link,Other Links,img_file,img_credit,notes
text1,dh0018,Tomasz Suliga,42,,M,Blackburn,Blackburn with Darwen,North West,31,10,2017,,Forty-two year old Tomasz was found dead under a railway bridge in Blackburn. According to news reports he had been drinking heavily before his death. Born in Poland he had been sleeping rough for some time. A coroner’s report noted fatal levels of blood alcohol. ,x,,,,the Lancashire Telegraph,http://www.lancashiretelegraph.co.uk/news/16057564.Inquest__Homeless_man_found_dead_among_bottles_of_strong_cider/,,,,
text1,dh0017,Robert Bartlett,30,,M,Brighton,Brighton and Hove,South East,29,10,2017,,"Robert, who was sleeping rough died of a suspected overdose. He was found underneath an archway in Madeira Drive at 8.50am on 29 October 2017. According to a local man who knew him, the deceased had been battling mental health problems and drug addiction. ",x,,,,a local charity,http://www.theargus.co.uk/news/15626482.Man_found_dead_under_arches_on_Brighton_seafront/,http://www.theargus.co.uk/news/15630428.Hell_of_living_on_the_streets_by_rough_sleeper_who_discovered_body_of_homeless_man/,,,
text1,dh0016,Saulius Kantakevicius,47,,M,Tottenham,Hackney,London,27,10,2017,,Nothing more is known about Saulius or his death.,,,,,a local charity,,,,,
text1,dh0015,Jaroslav / Jay Kungurtsev / Kingerstev,34,,M,London,,London,26,10,2017,,"This person was remembered at the St Martin's in the Fields, annual homeless memorial service. ",,,,,collected for memorial service by national charity,,,,,
photo,dh0014,Alan Cambell,,,M,Leeds,Leeds,Yorkshire and the Humber,20,10,2017,,"Alan often frequented the Dark Arches near Leeds train station, according to local news reports. Haydn Jessop, from Leeds Homeless Partnership, was reported as saying: “Alan was known as ‘gentle giant’ - that was his nickname. “He was never any bother for anybody.” More than 50 people gathered for a candlelit memorial in his memory. The inquest found the medical cause of death was multiple organ failure, severe sepsis, pneumonia and chronic intravenous substance abuse. ",x,,,,the Yorkshire Evening Post,https://www.yorkshireeveningpost.co.uk/news/death-of-leeds-street-sleeper-not-thought-to-be-suspicious-1-8822892,https://www.yorkshireeveningpost.co.uk/news/touching-candlelit-vigil-in-leeds-city-centre-to-remember-two-homeless-men-1-8821976,img/alan-cambell.jpg,the Yorkshire Evening Post,
text2,dh0012,Unknown,30,,Unknown,East Dunbartonshire,East Dunbartonshire,Scotland,18,10,2017,,We found out about this death through FOI and no more is known at this time.,,,,,a FOI request,,,,,
text2,dh0013,Unknown,,,Unknown,Glasgow,Glasgow,Scotland,18,10,2017,,This death was heard about through FOI and no more is known at this time. ,,,x,,a local charity,,,,,
text1,dh0011,Vadims Saltis,23,,M,King's Lynn,Norfolk,South East,17,10,2017,,Vadims was living in temporary accommodation. An inquest heard that his friends and family feared he had mental health issues. He was found dead in a cemetary after committing suicide.,x,,,,Lynn News,https://www.lynnnews.co.uk/news/inquest-told-of-depression-fears-over-man-found-hanged-in-kings-lynn-9000113/,,,,
text1,dh0010,John Smith,35,,M,Ramsgate,Kent,South East,15,10,2017,,"John has been sleeping rough the days before the died. He passed away at a friend's address after smoking crack cocaine, according to an inquest. He leaves behind a young baby.",,,,,Kent Online,https://www.kentonline.co.uk/thanet/news/homeless-dad-died-after-smoking-crack-cocaine-187371/,,,,
text1,dh0009,Jeffrey John Hepburn,54,,M,Leeds,Leeds,Yorkshire and the Humber,13,10,2017,,Jeffrey's body was found in a tent by a passerby. An inquest heard Mr Hepburn regularly visited Mill Hill Unitarian Chapel in Leeds city centre and told people there that he had been a sergeant in the army.,x,,,,the Yorkshire Post,https://www.yorkshireeveningpost.co.uk/news/homeless-man-found-dead-in-tent-in-leeds-city-centre-open-verdict-at-inquest-1-9433128,,,,
text2,dh0008,Unknown,,,Unknown,Glasgow,Glasgow,Scotland,11,10,2017,,This death was heard about through FOI and no more is known at this time. ,,,x,,a local charity,,,,,
text2,dh0007,Unknown,,,Unknown,Glasgow,Glasgow,Scotland,9,10,2017,,This death was heard about through FOI and no more is known at this time. ,,,x,,a local charity,,,,,
text1,dh0005,Shaun McClenaghan,37,,M,London,,London,8,10,2017,,Passed away in hospital after being in for two weeks. Cause: Organ Failure.,,x,,,a local charity,,,,,
text1,dh0006,Darren Walton,41,,M,London,,London,8,10,2017,,"This person was remembered at the St Martin's in the Fields, annual homeless memorial service. ",,,,,collected for memorial service by national charity,,,,,
text1,dh0004,Oliver John,57,,M,London,,London,6,10,2017,,"This person was remembered at the St Martin's in the Fields, annual homeless memorial service. ",,,,,collected for memorial service by national charity,,,,,
text1,dh0002,James Abbott,51,,M,Croydon,Croydon,London,4,10,2017,,"James reportedly died by suicide in a hotel in Croydon, the day before his stay in temporary accommodation was due to run out. A report from Lambeth Clinical Commissioning Group (CCG) said: “He [Mr Abbott] said his primary need was accommodation and if this was provided he would not have an inclination to end his life.”",,,x,,the Croydon Advertiser,https://www.croydonadvertiser.co.uk/news/croydon-news/man-took-life-croydon-hotel-1422944,,,,
text2,dh0003,Unknown,,,Unknown,Glasgow,Glasgow,Scotland,4,10,2017,,This death was heard about through FOI and no more is known at this time. ,,,x,,a local charity,,,,,
text1,dh0001,Chris McGregor,46,,M,York,York,Yorkshire and the Humber,2,10,2017,,"Chris died on the street in York on 2 October. The 46 year-old was sleeping in the doorway of a shoe shop. Messages of sadness were expressed by people who knew him. One woman wrote: “Tragic, only speaking to him on Sunday. Can’t believe this.”",x,,,,York Mix,https://www.yorkmix.com/news/heartbreaking-can-happen-shock-homeless-man-dies-york-shop-doorway/,,,,
text2,dh0019,Anonymous,39,,M,Brighton,Brighton and Hove,South East,,10,2017,,,,,,,a local charity,,,,,
photo,dh0020,Paul Larner,50,,M,Bristol,Bristol,South West,,10,2017,Week commencing 9/10/2017,"Known locally as 'Punk Paul', Paul Larner died on the streets age 50. He was struggling with addiction, reportedly using spice, and had previously spoken of his issues with alcohol. In 2009 he told the Bristol Post: “Because alcohol is cheap and in plentiful supply, it’s the worst addiction of all.”",,,x,,the Bristol Post,https://www.bristolpost.co.uk/news/bristol-news/one-four-homeless-people-die-640483,,img/paul-larner.jpg,the Bristol Post,
text2,dh0021,Anonymous,60,,M,Brighton,Brighton and Hove,South East,,10,2017,,Died while in long term temporary accommodation.,,,x,,a local charity,,,,,
text1,dh0022,"""Geordie""",,,M,Leeds,Leeds,Yorkshire and the Humber,,10,2017,Week commencing 2/10/2017,"Geordie died the week before Alan Cambell (see his separate entry). Little is know about him or his death, but a candle vigil for him and Alan attracted 50 well-wishers. ",,,,,the Yorkshire Evening Post,https://www.yorkshireeveningpost.co.uk/news/death-of-leeds-street-sleeper-not-thought-to-be-suspicious-1-8822892,,,,
